RR,ATR,MAX_BARS,trades,wins,losses,expired,pf,win_rate,avg_r,net_r
1.3,1.4,120,48,29,19,0,1.9842105263157896,60.416666666666664,0.38958333333333334,18.7
1.1,1.8,90,49,31,18,0,1.8944444444444446,63.26530612244898,0.3285714285714286,16.1
1.3,1.4,90,49,29,20,0,1.8850000000000002,59.183673469387756,0.36122448979591837,17.7
1.3,1.8,90,49,29,20,0,1.8850000000000002,59.183673469387756,0.36122448979591837,17.7
1.1,1.4,120,48,30,18,0,1.8333333333333333,62.5,0.31250000000000006,15.000000000000002
1.1,1.6,120,48,30,18,0,1.8333333333333333,62.5,0.31250000000000006,15.000000000000002
1.1,1.8,120,48,30,18,0,1.8333333333333333,62.5,0.31250000000000006,15.000000000000002
1.2,1.4,120,48,29,19,0,1.831578947368421,60.416666666666664,0.32916666666666666,15.8
1.2,1.6,120,48,29,19,0,1.831578947368421,60.416666666666664,0.32916666666666666,15.799999999999999
1.3,1.6,120,48,28,20,0,1.8199999999999998,58.333333333333336,0.3416666666666666,16.4
1.3,1.8,120,48,28,20,0,1.8199999999999998,58.333333333333336,0.3416666666666666,16.4
1.3,1.4,60,49,27,20,2,1.7550000000000001,57.446808510638306,0.3081632653061225,15.100000000000001
1.2,1.4,90,49,29,20,0,1.7399999999999998,59.183673469387756,0.3020408163265306,14.8
1.2,1.6,90,49,29,20,0,1.7399999999999998,59.183673469387756,0.30204081632653057,14.799999999999999
1.2,1.8,90,49,29,20,0,1.7399999999999998,59.183673469387756,0.30204081632653057,14.799999999999999
1.1,1.4,90,49,30,19,0,1.736842105263158,61.224489795918366,0.28571428571428575,14.000000000000002
1.1,1.6,90,49,30,19,0,1.736842105263158,61.224489795918366,0.28571428571428575,14.000000000000002
1.3,1.6,90,49,28,21,0,1.7333333333333332,57.14285714285714,0.3142857142857143,15.399999999999999
1.1,1.8,60,49,28,18,3,1.7111111111111112,60.86956521739131,0.2612244897959184,12.800000000000002
1.3,1.8,60,49,26,20,3,1.6900000000000002,56.52173913043478,0.2816326530612245,13.8
1.2,1.8,120,48,28,20,0,1.6800000000000002,58.333333333333336,0.2833333333333333,13.6
1.1,1.4,60,49,28,19,2,1.6210526315789475,59.57446808510638,0.2408163265306123,11.800000000000002
1.1,1.6,60,49,28,19,2,1.6210526315789475,59.57446808510638,0.2408163265306123,11.800000000000002
1.2,1.4,60,49,27,20,2,1.6199999999999999,57.446808510638306,0.2530612244897959,12.399999999999999
1.2,1.6,60,49,26,20,3,1.56,56.52173913043478,0.22857142857142856,11.2
1.2,1.8,60,49,26,20,3,1.56,56.52173913043478,0.22857142857142856,11.2
1.3,1.6,60,49,25,21,3,1.5476190476190477,54.347826086956516,0.23469387755102042,11.5
